lat,lon,date,offense,street
41.060266015,-86.604452,2023-01-21T00:00:00Z,,Riverside
41.57141,-86.3315,2025-08-15T00:00:00Z,,Oak
41.58456,-86.2154,2025-06-10T00:00:00Z,,Ironwood
41.58456,-86.2154,2025-07-01T00:00:00Z,,Ironwood
41.60196,-86.2654,2024-08-22T00:00:00Z,,Lutz
41.60283,-86.256,2025-09-17T00:00:00Z,,Old
41.604077984,-86.27044397,2022-01-03T00:00:00Z,,Slater
41.60483,-86.232,2025-08-01T00:00:00Z,,Miami
41.60483202,-86.23207799,2022-06-15T00:00:00Z,,Miami
41.605300744,-86.23410812,2022-10-10T00:00:00Z,,Chestnut
41.605637982,-86.26602,2024-02-13T00:00:00Z,,Erie
41.605812996,-86.26684897,2022-01-10T00:00:00Z,,Armstrong
41.606082147,-86.23391141,2022-03-02T00:00:00Z,,Oak
41.606246005,-86.26676499,2022-12-01T00:00:00Z,,Armstrong
41.606401992,-86.22632096,2023-06-27T00:00:00Z,,Meadow
41.606735005,-86.22774496,2023-06-19T00:00:00Z,,Stone
41.607139013,-86.23394699,2023-05-06T00:00:00Z,,Kern
41.607816983,-86.23496899,2022-03-13T00:00:00Z,,Miami
41.608014,-86.23206399,2022-05-16T00:00:00Z,,Exeter
41.608148626,-86.25413751,2022-02-16T00:00:00Z,,Sr
41.60824,-86.2323,2024-08-27T00:00:00Z,,Algeld
41.608287803,-86.25408084,2023-04-07T00:00:00Z,,Us
41.608322322,-86.25422585,2022-06-03T00:00:00Z,,Sr
41.608759989,-86.22477601,2023-11-27T00:00:00Z,,York
41.60904569,-86.23113494,2025-02-25T00:00:00Z,,Riding
41.609049,-86.23113603,2024-10-29T00:00:00Z,,Riding
41.60905,-86.2311,2024-08-18T00:00:00Z,,Riding
41.60905,-86.2311,2024-11-29T00:00:00Z,,Riding
41.60905,-86.2311,2024-11-29T00:00:00Z,,Riding
41.60915,-86.2548,2025-09-24T00:00:00Z,,Michigan
41.60924,-86.231,2024-12-29T00:00:00Z,,Riding
41.60924,-86.231,2025-03-28T00:00:00Z,,Riding
41.609470163,-86.25359537,2024-01-15T00:00:00Z,,Michigan
41.609470205,-86.25359528,2022-01-21T00:00:00Z,,Michigan
41.609470205,-86.25359528,2022-05-01T00:00:00Z,,Michigan
41.609475038,-86.25375271,2022-10-30T00:00:00Z,,Michigan
41.609475038,-86.25375271,2024-02-04T00:00:00Z,,Michigan
41.609845991,-86.23016801,2023-02-26T00:00:00Z,,Croydon
41.610694994,-86.22208802,2022-05-16T00:00:00Z,,Bridgeton
41.611185,-86.224775,2023-03-24T00:00:00Z,,York
41.61131,-86.2242,2025-11-24T00:00:00Z,,York
41.61198,-86.25,2025-07-02T00:00:00Z,,Gilmer
41.612174986,-86.22085202,2022-01-13T00:00:00Z,,Somersworth
41.612174986,-86.22085202,2022-02-12T00:00:00Z,,Somersworth
41.612236006,-86.22508103,2023-12-28T00:00:00Z,,York
41.61228701,-86.23976302,2024-09-13T00:00:00Z,,Boxwood
41.612332985,-86.23033497,2023-09-12T00:00:00Z,,Hampshire
41.612473005,-86.21900297,2023-04-07T00:00:00Z,,Stonehedge
41.612473005,-86.21900297,2023-08-26T00:00:00Z,,Stonehedge
41.612761007,-86.22236697,2024-02-12T00:00:00Z,,Bridgeton
41.612761007,-86.22236697,2024-02-12T00:00:00Z,,Bridgeton
41.61285,-86.2177,2025-07-30T00:00:00Z,,Aberdeen
41.61303709,-86.2485512,2024-04-29T00:00:00Z,,St
41.61303709,-86.2485512,2024-05-28T00:00:00Z,,St
41.61303709,-86.2485512,2024-06-11T00:00:00Z,,St
41.61303709,-86.2485512,2024-09-16T00:00:00Z,,St
41.61303709,-86.2485512,2024-09-19T00:00:00Z,,St
41.61304,-86.2486,2024-08-20T00:00:00Z,,St
41.61304,-86.2486,2025-05-31T00:00:00Z,,St
41.61304,-86.2486,2025-06-18T00:00:00Z,,St
41.61304,-86.2486,2025-07-04T00:00:00Z,,St
41.61304,-86.2486,2025-07-29T00:00:00Z,,St
41.61304,-86.2486,2025-10-28T00:00:00Z,,St
41.61304,-86.2486,2025-10-30T00:00:00Z,,St
41.613059989,-86.21754503,2022-01-21T00:00:00Z,,Durham
