license_type,business_name,street_address,status,city,state,zip_code,phone_no,year,licence_number,full_address,active,lat,lon
Restaurant (A-M) License,FRANK'S PLACE,327 W  MARION ST,RENEWED,SOUTH BEND,IN,46601,574-232-2277,2020,780RESTAM2020,"327 W  MARION ST, SOUTH BEND, IN, 46601",FALSE,41.6818312,-86.2547231
Restaurant (A-M) License,Frank's Place,"327 W Marion St, South Bend, Indiana, 46601",RENEWED,SOUTH BEND,IN,46601,5742322277,2021,RST2021-191,"327 W Marion St, South Bend, Indiana, 46601, SOUTH BEND, IN, 46601",FALSE,NA,NA
Arborist License,"AMERICAN TREE CARE, INC",35 SYCAMORE ST.,RENEWED,NILES,MI,49120,574-287-8800,2022,ARB2022-035,"35 SYCAMORE ST., NILES, MI, 49120",FALSE,41.830948,-86.259522
Lawn Parking License,1219 WHITE OAK DR.,1219 WHITE OAK DR.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-030,"1219 WHITE OAK DR., SOUTH BEND, IN, 46617",FALSE,41.6912847,-86.2244021
Taxi Driver License,Didier Rwamanzi,1657 COMMERCE DR.,DENIED,SOUTH BEND,IN,46628,574-287-6666,2022,TXD2022-002,"1657 COMMERCE DR., SOUTH BEND, IN, 46628",FALSE,41.6986746,-86.307587
Alarm Agent License,"SECURITAS ELECTRONIC SECURITY, INC.",3800 Tabs Dr,RENEWED,UNIONTOWN,OH,44685,330-899-5100,2021,ALR2021-031,"3800 Tabs Dr, UNIONTOWN, OH, 44685",FALSE,NA,NA
Lawn Parking License,1236 CORBY BLVD.,1236 CORBY BLVD.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-031,"1236 CORBY BLVD., SOUTH BEND, IN, 46617",FALSE,41.687089,-86.231704
Lawn Parking License,1415 ROSEMARY LN.,1415 ROSEMARY LN.,INACTIVE,SOUTH BEND,IN,46637,NA,2021,LWN2021-025,"1415 ROSEMARY LN., SOUTH BEND, IN, 46637",FALSE,41.694747,-86.2188208
Restaurant (A-M) License,MC DONALD'S 574,2001 S MICHIGAN ST,ACTIVE,SOUTH BEND,IN,46613,574-400-0775,2023,RST2023-159,"2001 S MICHIGAN ST, SOUTH BEND, IN, 46613",FALSE,41.6533255,-86.2502879
Tattoo/Body Piercing Artist License,WILLIAM FASHBAUGH JR.,54430 30TH ST.,RENEWED,SOUTH BEND,IN,46635,NA,2022,TAA2022-011,"54430 30TH ST., SOUTH BEND, IN, 46635",FALSE,41.6722274,-86.205413
Restaurant (N-Z) License,ZEN CAFE,530 E  LASALLE AVE,RENEWED,SOUTH BEND,IN,46617,812-360-1971,2020,8667RESTZ2020,"530 E  LASALLE AVE, SOUTH BEND, IN, 46617",FALSE,41.6789623,-86.2431578
Restaurant (N-Z) License,Style Inc - No.6,"701 PORTAGE AVE, SOUTH BEND, IN, 46616",ACTIVE,South Bend,IN,46616,574-855-3817,2023,RST2023-243,"701 PORTAGE AVE, SOUTH BEND, IN, 46616, South Bend, IN, 46616",FALSE,NA,NA
Restaurant (A-M) License,LOS ASES MEXICAN FOOD LLC,3622 EDISON RD,RENEWED,SOUTH BEND,IN,46615,574-383-5546,2021,RST2021-403,"3622 EDISON RD, SOUTH BEND, IN, 46615",FALSE,41.6946184,-86.1987021
Restaurant (N-Z) License,PANDA EXPRESS #2886,209 E IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-231-9980,2021,RST2021-282,"209 E IRELAND RD, SOUTH BEND, IN, 46614",FALSE,41.6293824,-86.2487447
Alarm Agent License,PER MAR SECURITY & RESEARCH CO,730 S BYRKIT AVE,RENEWED,MISHAWAKA,IN,46544,563-359-3200,2022,ALR2022-027,"730 S BYRKIT AVE, MISHAWAKA, IN, 46544",FALSE,41.6576975,-86.1575147
Mobile Food Vendor (N-Z) 1 Year License,REAL GRILLE FOOD TRUCK,121 Garst St,RENEWED,SOUTH BEND,IN,46601,574-256-1649,2022,MFV2022-009,"121 Garst St, SOUTH BEND, IN, 46601",FALSE,41.6634452,-86.253248
